AO,BE
PAS Lamia 1964,Lamia
PS Barito Putera,Barito Putera
Palermo,Palermo
Palmeiras SP (N),Palmeiras
Parana Clube PR,Parana
Paris Saint Germain,Paris SG
Paterna CF,Paterna
Piacenza,Piacenza
Pineto,ASD Pineto Calcio
Pisek,Pisek
Pontevedra,Pontevedra
Pordenone,Pordenone
Portland Timbers II,Portland 2
Portsmouth,Portsmouth
Pro Vercelli,Pro Vercelli
Pskov 747,Pskov 747
Puente Genil FC,Puente Genil
Puerto Montt,D. Puerto Montt
RCD Mallorca,Mallorca
RS Gimnastica Torrelavega,Torrelavega
Racing Club Montevideo,Racing Montevideo
Racing Santander B,Santander B
Randers FC,Randers FC
Rangers (Chile),Rangers
Ravenna,Ravenna
Rayo Vallecano (W),Rayo Vallecano W
Real Aviles,Real Aviles
Real De Minas,Real de Minas
Real Esteli,Esteli
Real Madrid Castilla,Real Madrid B
Real Pilar,Real Pilar
Renofa Yamaguchi,Renofa Yamaguchi
Reus Deportiu,Reus Deportiu
Rubin Kazan,Rubin Kazan
SC Freiburg (W),Freiburg W
SD Barreda Balompie,Barreda Balompie
SD Beasain,Beasain
SK Sigma Olomouc U19,Sigma Olomouc U19
SKN St Polten (W),St. Polten W
SV Wals Grunau,Wals-Grunau
Sandvikens IF,Sandvikens
Santutxu,Santuxu
Saturn Ramenskoye,Saturn Ramenskoye
Sevilla C,Sevilla FC C
Shenzhen Pengcheng,Shenzhen Pengcheng
Shrewsbury Town,Shrewsbury
Sibir Novosibirsk (N),Sibir
Sichuan Annapurna,Sichuan Annapurna
Ska Rostov Na Don,SKA Rostov
Skra Czestochowa,Skra
Sliema Wanderers,Sliema
Sodupe UC,Sodupe
Sogdiana Jizak,Sogdiana
Sollentuna FK,Sollentuna
Spal 2013 ,Spal
Sport Club Recife PE,Sport Recife
Stade Nyonnais,Stade Nyonnais
Sudtirol,Sudtirol
TJ Sokol Zapy,Zapy
Talaea El Gaish,El Gaish
Taranto,Taranto
Team Wellington,Team Wellington
Tenerife B,Tenerife B
Ternana,Ternana
Terrassa,Terrassa
Throttur Reykjavik,Throttur
Trastevere,Trastevere Calcio
Trival Valderas,Trival Valderas
UB Lebrijana,Lebrijana
UCAM Murcia,UCAM Murcia
UD Almeria B,Almeria B
UD Los Barrios,Los Barrios
UD Paiosaco,Paiosaco
UD Villa De Santa Brigida,Villa Santa Brigida
UE Cornella,Cornella
UM Escobedo,Union Montanesa Escobedo
UWI,UWI
Union Adarve,Union Adarve
Universitario Deportes (N),U. de Deportes
Valencia CF Mestalla,Valencia B
Vegalta Sendai (W),Vegalta Sendai W
VfL Wolfsburg (W),Wolfsburg W
Victoriano Arenas,Victoriano A.
Vis Pesaro,Vis Pesaro
Werder Bremen (W),Werder Bremen W
West Ham United,West Ham
Widzew Lodz,Widzew Lodz
Xanthi FC,Xanthi FC
Yanbian Funde,Yanbian
Zenit Izhevsk,Zenit-Izhevsk
Zeta Golubovci,Zeta
Zirka Kropyvnytskyi,Zirka Kropyvnytskyi
AC Milan (W),AC Milan W
AD Sanjoanense,Sanjoanense
AFC Leopards,Leopards
AS Furiani Agliani,Furiani Agliani
AS Poissy,Poissy
Al Wahda Abu Dhabi,Al Wahda
Arameisk Syrianska IF,Arameisk-Syrianska
Atletico Albericia,Atletico Albericia
Atletico Astorga FC,Atl. Astorga
Atletico Nacional,Atl. Nacional
Barry Town United,Barry
Bergantinos CF,Bergantinos
Bisceglie,Bisceglie
Bnei Sakhnin,Sakhnin
Boreham Wood FC,Boreham Wood
Brabrand IF,Brabrand
CD Alesves,Alesves
CD Burgos Promesas 2000,Burgos Promesas
CD Cantolagua,CD Cantolagua
CD Chalatenango,Chalatenango
CD Choco,CD Choco
CD Covadonga,Covadonga
CD Huetor Vega,Huetor Vega
CD Plaza Amador,Plaza Amador
CD San Fernando de Henares,San Fernando
CD Subiza,Subiza
CDEF Logrono (W),EDF Logrono W
CSD Yupanqui,Yupanqui
Carmarthen Town,Carmarthen Town
Caudal Deportivo,Caudal Deportivo
Cerro Montevideo (N),CA Cerro
Cheltenham Town,Cheltenham
Chesterfield,Chesterfield
Cordoba B,Cordoba B
Crucero Del Norte,Crucero del Norte
Defensor Sporting Montevideo,Defensor Sp.
Dinamo Stavropol,Dynamo Stavropol
Doxa Katokopias,Doxa
Duisburg,Duisburg
Dunfermline Athletic,Dunfermline
Dynamo Kyiv,Dyn. Kyiv
Eibar,Eibar
FC Barcelona (W),Barcelona W
FK Chernomorets Novorossiysk,Chernomorets Novorossijsk
FK Nardo,Nardo
FK Rotor Volgograd II,R. Volgograd 2
Fk Dobrovice,Dobrovice
Forli,Forli
Fram Larvik,Fram
Fundacion Albacete (W),Albacete W
Gondomar SC,Gondomar
Groningen,Groningen
Havant and Waterlooville,Havant & Waterlooville
IFO Bromolla IF,Bromolla
KRC Genk (W),Genk W
Kolos Kovalivka,Kolos Kovalyovka
L Entregu CF,L Entregu Club de Futbol
Leca FC,Leca
Macclesfield Town,Macclesfield
Madrid CFF (W),Madrid C. W
Mariupol,Mariupol
Matsumoto Yamaga FC,Yamaga
Metalist 1925 Kharkiv,Metalist 1925
Metta Latvijas Universitate,Metta/LU
NK Kustosija,Kustosija
NV Estudiantes de Murcia CF,Estudiantes de Murcia
Nardo FK,Nardo
Nimes,Nimes
Nippon Beleza (W),Beleza W
Numancia,Numancia
Odder Igf,Odder
PFC Litex Lovech,Litex Lovech
Paganese,Paganese
Paiporta CF,Paiporta
Polvorin FC,Polvorin
Pors Grenland If,Pors Grenland
Potenza,Potenza
RSD Alcala,RSD Alcala
Randers,Angers
Real CD Espana,Real Espana
Real Pilar FC,Real Pilar
Real Zaragoza,Zaragoza
Rieti,Rieti
SADCF Internacional DSL,Internacional de Madrid
SC Bruhl,Bruhl
SD Balmaseda,Balmaseda
SD Compostela,Compostela
SD Leioa,Leioa
SD Solares Medio Cudeyo,Solares
SK Bischofshofen,Bischofshofen
Salyut Belgorod,Salyut-Belgorod
Sassuolo (W),Sassuolo W
Sc Schwaz,Schwaz
Sichuan Jiuniu,Sichuan Jiuniu
Sicula Leonzio,Sicula Leonzio
Skjetten Fotball,Skjetten
Sol De Mayo,Sol de Mayo
Sotra,Sotra
Teramo,Teramo
Textil Escudo,Textil Escudo
Torns,Torns
Tranmere Rovers,Tranmere
Twente Enschede (W),Twente W
UD Almeria,Almeria
UD Mutilvera,Mutilvera
UDC Torredonjimeno,Torredonjimeno
Udinese,Udinese
Valencia (W),Valencia W
Vasco da Gama,Vasco
Vejgaard BK,Vejgaard
Vrchovina,Vrchovina
Yanbian Beiguo,Yanbian Beiguo
Achilles 29 (W),Achilles 29 W
Al Najma Manama,Al-Najma
America MG,America MG
Arendal,Arendal
CD Agoncillo,Agoncillo
CD Beroil Bupolsa,Bupolsa
CD Villacanas,Villacanas
Caldas SC,Caldas
Chicago Fire,Chicago Fire
Club Libertad,Libertad Asuncion
Club Nacional Asuncion,Nacional Asuncion
Corinthians Paulista SP,Corinthians
Crotone,Crotone
Deportes Iquique,Deportes Iquique
FC Stade Lausanne-Ouchy,Lausanne Ouchy
FC Twente Enschede (R),Jong FC Twente
FFC Frankfurt (W),Frankfurt W
FK Hodonin,Hodonin
Floya,Floya
Fujian Tianxin,Fujian Tianxin
Hassleholms IF,Hassleholms IF
Hillerod Fodbold,Hillerod
Istra 1961 Pula,Istra 1961
Jiangsu Yancheng Dingli,Jiangsu Yancheng
Jong Utrecht,Jong Utrecht
Kuressaare,Kuressaare
La Baneza FC,La Baneza
Lazio,Lazio
Llanelli Town AFC,Llanelli
MTK Budapest,MTK Budapest
Marignane Gignac,Marignane
NK Brda Dobrovo,Brda
NK Triglav Kranj,Triglav
Nice,Nice
PEC Zwolle,Zwolle
Pescara,Pescara
Pobla Mafumet CF,Pobla Mafumet
Port Talbot Town,Port Talbot
Real Sociedad (W),Real Sociedad W
Revilla,Revilla
SC Sand (W),Sand W
SV Wehen Wiesbaden,Wehen
Sambenedettese,Sambenedettese
San Martin San Juan,San Martin S.J.
Sarpsborg 08,Sarpsborg 08
Slovacko U19,Slovacko U19
Sochaux Montbeliard,Sochaux
Stabaek B,Stabaek 2
Team Thorengruppen FF (N),Team TG FF
Torpedo Kutaisi,Torpedo Kutaisi
USC Paredes,Paredes
Ulinzi Stars,Ulinzi Stars
Union Balompedica Lebrijana,Lebrijana
Union La Calera,Union La Calera
Ural Yekaterinburg II,Ural 2
Vardar Skopje (N),Vardar
Vaxjo DFF (W),Vaxjo DFF W
Wacker Innsbruck Am,Wacker Innsbruck (Am)
Zalgiris Vilnius B,Zalgiris 2
Acassuso San Isidro,Acassuso
Accrington Stanley,Accrington
Ahrobiznes Volochysk,Ahrobiznes Volochysk
Al Hajer,Hajer
Albacete Balompie B,Albacete B
Altos Hornos Zapla,AH Zapla
Ankaragucu,Ankaragucu
Antalyaspor,Antalyaspor
Aris Thessaloniki,Aris
Atletico Monzon,Atletico Monzon
Atletico Pinto,Atletico Pinto
Audax Italiano,A. Italiano
Bethlehem Steel,Bethlehem
Bogota,Bogota
Boston River Montevideo,Boston River
CA Chaco For Ever,Chaco For Ever
CA River Plate Montevideo,River Plate
CD Alhaurino,CD Alhaurino
CD Binefar,Binefar
CD Calahorra,Calahorra
CD Marino,CD Marino
CD Santurtzi,Santurtzi
CD Utrera,CD Utrera
CF Peralada Girona B (N),Peralada
CFR Cluj,CFR Cluj
CS Dock Sud,Dock Sud
Cadiz,Cadiz CF
Cavalier SC,Cavalier
Centro Espanol,CSR Espanol
Club Mutual Crucero del Norte,Crucero del Norte
Cordoba II,Cordoba B
Croix Football IC,IC Croix
Deportivo Madryn,Deportivo Madryn
Dunarea Calarasi,Calarasi
FC Ararat Armenia ,Ararat-Armenia
FC Chiasso,Chiasso
FC Clinceni,Academica Clinceni
FK Biolog Novokubansk,Biolog
FK Dukla Praha U19,Dukla Prague U19
FK Radnicki 1923,Radnicki 1923
FK Teleoptik,Teleoptik
FK Trayal Krusevac,Trayal Krusevac
Fermana,Fermana
Fredrikstad,Fredrikstad
Halsen IF,Halsen
Hapoel Katamon Jerusalem - No. of Corners,Hapoel Katamon
Hapoel Marmorek Irony Rehovot,H. Marmorek
Haukar Hafnarfjordur,Haukar
Hong Kong Pegasus,Pegasus
JD Somorrostro,Somorrostro
Juticalpa,Juticalpa
JyPK (W),Jypk W
Kristianstad,Kristianstads
Laval,Laval
Leganes B,Leganes B
Llanelli Town,Llanelli
MSK Zilina II,Zilina B
Maidenhead United,Maidenhead
Montego Bay United,Montego Bay
Nybergsund,Nybergsund
OFK Becej 1918,Becej
Odense Q (W),Odense Q W
Oita Trinita,Oita
Olympia Radotin,Olympia Radotin
Pasaia KE,Pasaia
Pontedera,Pontedera
Prevysov,Prevysov
RC Lens II,Lens II
RCD Carabanchel,Carabanchel
RCD Espanyol (W),Espanyol W
Rende,Rende
Ribamontan Al Mar CF,Ribamontan al Mar
Roasso Kumamoto,Kumamoto
SC Puente Genil FC,Puente Genil
SC de Coimbroes,Coimbroes
SK Slavia Praha U19,Slavia Prague U19
Sacachispas (N),Sacachispas
Sandefjord B,Sandefjord 2
Sion II,Sion II
Skovshoved IF,Skovshoved
Sokol Brozany,Brozany
Telstar 1963,Telstar
Thika United,Thika Utd.
UC Dublin,UC Dublin
UD Casetas,UD Casetas
UD Rayo Ibense,Rayo Ibense
USK Anif,USK Anif
Vejgaard Boldspilklub,Vejgaard
Villarreal CF B,Villarreal B
Zibo Sunday,Zibo Sunday
AIK Solna (W),AIK W
Al Adalh (N),Al Adalh
Al Mojzel,Al Mojzel
Alessandria,Alessandria
Apollon Limassol,Apollon
Argentino De Quilmes,Argentino de Quilmes
Atalanta U19,Atalanta U19
CA Cirbonero,Cirbonero
Carrarese,Carrarese
Crystal Palace,Crystal Palace
Deportivo La Equidad,La Equidad
Drogheda United,Drogheda
Eintracht Frankfurt,Eintracht Frankfurt
FC Fastav Zlin U19,FC Fastav Zlin U19
GIF Sundsvall,Sundsvall
Granada CF,Granada CF
HNK Sibenik,Sibenik
Honefoss BK,Honefoss
Ionikos FC,Ionikos
KIF Orebro DFF (W),Orebro W
KP Starogard Gdanski,KP Starogard Gdanski
Kaiserslautern,Kaiserslautern
Lokomotivi Tbilisi,Lokomotiv Tbilisi
Londrina,Londrina
ND Gorica,ND Gorica
Nizhny Novgorod,Nizhny Novgorod
Novara,Novara
Pasaquina (N),Pasaquina
Patriotas FC,Patriotas
Perez Zeledon (N),Zeledon
Pistoiese,Pistoiese
Pro Piacenza,Pro Piacenza
Samtredia,Samtredia
Sevilla (W),Sevilla FC W
Skarp,Skarp
Tiszakecske,Tiszakecske
Tulevik Viljandi,Tulevik
Twente,Twente
UD San Pedro,UD San Pedro
UVB Vocklamarkt,Vocklamarkt
Viktoria Plzen,Plzen
Villanovense,Villanovense
Virtus Verona,Virtus Verona
Volyn Lutsk,Volyn Lutsk
Wda Swiecie,Wda Swiecie
AE Larissa,AEL Larissa
AS Roma U19,AS Roma U19
Admira Wacker Modling,Admira
Al Ahli Amman (N),Al Ahli
Al Ahli Doha,Al Ahli Doha
Al Batin,Al Batin
Al Ettifaq,Al-Ettifaq
Al Fahaheel,Al-Fahaheel
Al Fateh,Al-Fateh
Al Jazira Amman,Al Jazeera Amman
Al Kuwait SC,Al Kuwait
Al Nasr Salalah,Al Nasr
Al Sailiya,Al Sailiya
Al Wehda Mecca,Al Wehda
Algeciras CF,Algeciras
Alhaurin de la Torre,Alhaurin
Alianza FC (El Salvador),Alianza FC
Alianza FC (Panama),Alianza
Alloa Athletic,Alloa
Aqaba,Aqaba
Arbroath,Arbroath
Arzachena,Arzachena
Atletico Levante,Levante B
Aurora Cochabamba,Aurora
Barcelona,Barcelona
Bayer Leverkusen (W),Bayer Leverkusen W
Bhayangkara,Bhayangkara Utd
Boca Juniors,Boca Juniors
Brisbane Roar,Brisbane Roar
Brown de Adrogue,Brown Adrogue
Bruk-Bet Termalica Nieciecza,Termalica B-B.
Bryne Fk,Bryne
CD Audaz,Audaz
CD Barco,Barco
CD Berceo,Berceo
CD Fatima,Fatima
CD Guadalajara (Spain),Guadalajara
CD Nublense,Nublense
CD Siete Villas,Siete Villas
CD Son Cladera,Son Cladera
CDA Navalcarnero,Navalcarnero
CP Calasancio,Calasancio
CS Mioveni,Mioveni
CSKA Moscow,CSKA Moscow
Cadiz CF II,Cadiz CF B
Casertana,Casertana
Cerdanyola del Valles FC,Cerdanyola
Cerezo Osaka Sakai (W) (N),C-Osaka W
Chennaiyin,Chennaiyin
Club America,Club America
Club Atletico Tigre,Tigre
Club Lleida Esportiu,Lleida
Cruzeiro MG (N),Cruzeiro
Daco Getica Bucuresti,Daco-Getica Bucuresti
Dalian Transcendence,Dalian Transcend
Dessel Sport,Dessel
El-Entag El-Harby,El-Entag El-Harby
Estudiantes de Merida,Estudiantes Merida
FC Ashdod,Moadon Sport Ashdod
FC Emmen,FC Emmen
FC Maardu,Maardu
FC Obolon-Brovar Kyiv,Obolon Brovar Kyjev
FC Orenburg,Orenburg
FC Samtredia,Samtredia
FC Stadlau,Stadlau
FC Sudburgenland (W),Sudburgenland W
FFC Vorderland (W),Vorderland W
FK Aktobe,Aktobe
FSV Mainz 05,Mainz
Fastav Zlin U19,FC Fastav Zlin U19
Fc Strogino,FK Strogino Moscow
Ferencvarosi,Ferencvaros
Foolad Khouzestan,Foolad
Frydek-Mistek,Frydek-Mistek
GKS Katowice (W),GKS Katowice W
Gozzano,Gozzano
Guabira Montero,Guabira
Gyirmot,Gyirmot
Hoi King,Hoi King
Jiangsu Suning,Jiangsu Suning
Jonkopings Sodra IF,Jonkopings
Jubilo Iwata,Iwata
KS ROW 1964 Rybnik,ROW Rybnik
KSZO Ostrowiec,Ostrowiec Swietokrzyski
KVV Thes Sport,Thes Sport
Kamatamare Sanuki,Kamatamare
Karlslunds IF HFK,Karlslunds
Kolding IF,Kolding IF
Kolkheti 1913 Poti,Poti
Konyaspor,Konyaspor
Kvant Obninsk,Kvant
Lechia Tomaszow Mazowiecki,T. Mazowiecki
Lee Man FC,Lee Man Warriors
Legia Warszawa II,Legia II
Lille OSC,Lille
Lobos BUAP,Lobos BUAP
Los Andes,Los Andes
Los Angeles FC,Los Angeles FC
Luzern,Luzern
Lynx,Lynx
MFK Karvina U19,Karvina U19
MLKS Victoria Sulejowek,Sulejowek
MSK Zilina B,Zilina B
Majees,Majees SC
Marbella,Marbella
Melbourne Victory,Melbourne Victory
Monori SE,Monori
Montrose,Montrose
Mount Pleasant Football Academy,Mount Pleasant
NTV Beleza (W) (N),Beleza W
Nagoya Grampus,Nagoya
Nasaf Qarshi,Nasaf Qarshi
OFI Crete,OFI Crete
Ohod Medina,Ohod
Olimpo Bahia Blanca,Olimpo Bahia Blanca
Omiya Ardija,Omiya Ardija
Os Armacenenses (N),Armacenenses
Othellos Athienou,Othellos Athienou
Palermo U19,Palermo U19
Porto,FC Porto
Porto B,FC Porto B
Qizilqum Zarafshon,Qizilqum
Qormi FC,Qormi
Quilmes,Quilmes
RFC Seraing,Seraing
Radnik Surdulica,Radnik
Ramtha Irbid,Al Ramtha
Real Betis (W),Betis W
Riga,Riga FC
Rijeka,Rijeka
River Plate,River Plate
Robur Siena,Siena
Royal Antwerp,Antwerp
Ruch Chorzow U18,Ruch Chorzow U18
S.D. Huesca,Huesca
SC Freiburg,Freiburg
SC Vila Real,SC Vila Real
SKS Wisla Sandomierz,Sandomierz
SV Allerheiligen,Allerheiligen
SV Schwechat,Schwechat
Schalke 04,Schalke
Sertanense (N),Sertanense
Shabab Al Ordon,Shabab Al Ordon
Shakhtyor Karagandy,Shakhtar Karagandy
Shanghai Greenland Shenhua,Shanghai Shenhua
Shenzhen,Shenzhen
Sk Traeff,Traeff
Sleza Wroclaw,Sleza Wroclaw
Sligo Rovers,Sligo Rovers
Sport Boys Association (N),Sport Boys
St. Andrews,St. Andrews
Stjordals Blink,Stjordals Blink
Sydney FC,Sydney FC
TSG 1899 Hoffenheim,Hoffenheim
TSG Hoffenheim (W),Hoffenheim W
TSV Hartberg,Hartberg
Tai Po FC,Tai Po
The Strongest,The Strongest
Thun,Thun
UD Poblense,Poblense
UP Langreo,Langreo
Varzim,Varzim
Vibonese,Vibonese
Virtus Francavilla,Virtus Francavilla
Wellington Phoenix U20,Wellington Phoenix Res 2
Wolfsberger AC Am,AC Wolfsberger (Am)
Zaglebie Lubin,Zaglebie
Zamora FC Barinas,Zamora
Zurich,Zurich
AC Milan U19,AC Milan U19
AD Limianos,AD Limianos
AFC Wimbledon,AFC Wimbledon
AIK Solna,AIK
Achilles 29 (R),Jong Achilles 29
Adelaide United,Adelaide United
Airdrieonians FC,Airdrieonians
Akhmat Grozny,Akhmat Grozny
Al Rustaq,Al-Rustaq
Asteras Tripolis,Asteras Tripolis
Boyaca Chico FC,Chico
CA Cerro,CA Cerro
CA Torque (N),CA Torque
CASyD Camioneros Buenos Aires,Camioneros Buenos Aires
CD Aguila San Miguel,Aguila
CD Atletico Baleares,Baleares
CD El Ejido 2012,El Ejido
Canterbury United,Canterbury
Central Cordoba,Central Cordoba
Club Marino de Luanco,Marino de Luanco
Crevillente Deportivo,Crevillente
De Graafschap (R),Jong De Graafschap
Delfin Manta,Delfin
Deportivo Paraguayo,Deportivo Paraguayo
Eendracht Aalst,Aalst
FC Felgueiras,Felgueiras
FC Gomel,FC Gomel
FC Krasnodar,Krasnodar
FK Pribram,Pribram
FK Spartak Subotica,Sp. Subotica
FK Zorkiy Krasnogorsk,Krasnogorsk
GOSK Gabela,GOSK Gabela
GS Loures,Loures
Genoa U19,Genoa U19
Hibernian,Hibernian
Hilal Al Quds,Al Quds
Independiente FBC,Independiente
KFC Dessel Sport,Dessel
Keshla FK,Keshla
Kitchee,Kitchee
Lokomotiv Moscow,Lokomotiv Moscow
MKS Olimpia Szczecin (W),Mks Olimpia Szczecin W
Mlada Boleslav,Mlada Boleslav
OB Odense,Odense
Ourense CF,Ourense CF
Pune City,Pune City
RD Agueda,Agueda
RKC Waalwijk (R),Jong Waalwijk
RSC Anderlecht,Anderlecht
Reggina (N),Reggina 1914
Rosengard (W),Rosengard W
SBV Excelsior (R),Jong Excelsior
SC Covilha,Covilha
SGS Essen (W),SGS Essen W
SV Neulengbach (W),Neulengbach W
Sampdoria U19,Sampdoria U19
San Fernando CD Isleno,San Fernando
Siarka Tarnobrzeg,Siarka Tarnobrzeg
Sint Truidense,St. Truiden
Sogdiana Jizzakh,Sogdiana
Southern United,Southern United
Sporting Gijon,Gijon
TS Mitech Zywiec (W),Mitech Zywiec W
Tivoli Gardens FC,Tivoli
Trabzonspor,Trabzonspor
U Craiova 1948 CS,U Craiova 1948 CS
UD Montijo,Montijo
US Quevilly,Quevilly Rouen
USC Landhaus (W),Landhaus W
UWI FC,UWI
Universidad Catolica,U. Catolica
Vardeneset,Vardeneset
Varegg,Varegg
Willem II,Willem II
Willem II (R),Jong Willem II
Zorky Krasnogorsk,Krasnogorsk
AS Roma,AS Roma
Academica Clinceni,Academica Clinceni
Alhaurin de la Torre CF,Alhaurin
Alki Oroklini,Alki Oroklini
Angers,Angers
Arsenal Sarandi,Arsenal Sarandi
Brodd,Brodd
Burgos CF,Burgos
CD Rincon,Rincon
CP Olivenza,Olivenza
Carlisle,Carlisle
Clermont Foot,Clermont
Delhi Dynamos,Delhi Dynamos
Estudiantes de Rio Cuarto,Estudiantes Rio Cuarto
Eupen,Eupen
FC Voluntari,Voluntari
FK Dziugas Telsiai,Dziugas Telsiai
FK Zemun,Zemun
Felgueiras,Felgueiras
Foggia,Foggia
Fyllingsdalen Fk,Fyllingsdalen
Hassania Agadir,Hassania Agadir
Hirnyk Sport Horishni Plavni,Hirnyk-Sport
Huddersfield Town,Huddersfield
Inter Milan,Inter
Juventud Unida San Miguel,Juventud Unida S. M.
KS Ursus Warszawa,Ursus Warszawa
Kawkab Marrakech,Kawkab Marrakech
Legia Warszawa,Legia
Liverpool,Liverpool
Lokeren,Lokeren
MAS Taborsko,Mas Taborsko
MAT Tetouan,Moghreb Tetouan
Madura United,Madura United
Neftchi Fargona,Neftchi Fargona
Olympic Safi,Olympique de Safi
Plzen U19,Plzen U19
Praiense,SC Praiense
SD Atletico Tordesillas,Atl. Tordesillas
Sepsi OSK Sfantu Gheorghe,Sepsi
Slutsk,Slutsk
Tammeka Tartu,Tammeka
Valencia CF,Valencia
Vegalta Sendai,Vegalta Sendai
Al Najoom (N),Al Najoom
Alma Juventus Fano,Fano
Arenas Club De Getxo,Arenas Club
Avarta,Avarta
Bayern Munchen (W),Bayern Munich W
CD Izarra,Izarra
CD Lagun Onak,Lagun Onak
CD Magallanes,Magallanes
CF Tres Cantos,Tres Cantos
Deportes Puerto Montt,D. Puerto Montt
Dhamk Club,Dhamk
Dhofar,Dhofar
Dundee,Dundee FC
ES Metlaoui (N),Metlaoui
FC Khimki II,Khimki 2
FK AS Trencin,Trencin
FK Kyzylzhar Petropavlovsk,Kyzylzhar
FSV Zwickau,Zwickau
Guadalupe,Guadalupe
Gubbio,Gubbio
Hradec Kralove (W),Hradec Kralove W
JK Vaprus Parnu,Parnu JK Vaprus
Juventud Antoniana,Antoniana
Las Palmas C,Las Palmas C
Maritzburg United,Maritzburg Utd
Muscat Club,Muscat
Navbahor Namangan,Navbahor Namangan
Nitra,Nitra
Pamplona,Pamplona
Pandurii Targu Jiu,Pandurii
SC Espinho,SC Espinho
SC Fortuna Koln,Fortuna Koln
SC Heerenveen (R),Jong Heerenveen
SC Neusiedl Am See,Neusiedl
Shabab Al-Dhahiriya,Shabab Al-Dhahiriya
Shirak Gjumri,Shirak Gyumri
Spartak Subotica,Sp. Subotica
Sur Club,Sur Club
Team Wiener Linien,Wiener Linien
US Ben Guerdane,Ben Guerdane
Union Gurten,Union Gurten
Usm Bel Abbes,Bel Abbes
Valerenga,Valerenga
Vasas Budapest,Vasas
Waitakere United,Waitakere United
Wisla Plock,Plock
Yverdon Sport FC,Yverdon
1. FFC Frankfurt (W),Frankfurt W
1. FFC Turbine Potsdam (W),Potsdam W
AJ Auxerre (N),Auxerre
ASD Pineto Calcio,ASD Pineto Calcio
ASD Pink Sport Time Bari (W),Bari W
Acassuso (N),Acassuso
Al Wasl,Al Wasl
Amurrio Club,Amurrio Club
Aragua FC,Aragua
Arema FC,Arema FC
BK Olympic,Olympic
Bayer 04 Leverkusen (W),Bayer Leverkusen W
Bhayangkara FC,Bhayangkara Utd
CA Newells Old Boys,Newells Old Boys
CD Hospitalet,L Hospitalet
CD Tuilla,Tuilla
ChievoVerona Valpo (W),Chievo Verona W
Chinandega Fc,Chinandega
Comerciantes Unidos (N),Comerciantes Unidos
Dumbarton,Dumbarton
Dundee FC,Dundee FC
Estudiantes La Plata,Estudiantes L.P.
FC Bayern Munchen (W),Bayern Munich W
FC Stumbras,Stumbras
FK Kauno Zalgiris,Kauno Zalgiris
FK Metalac Gornji Milanovac,Metalac
Foto Higiena Blyskawica Gac,Foto-Higiena Gac
GKS Gornik Leczna (W),Leczna W
Goa,Goa
Hercules De Alicante CF,Hercules
Huracan Las Heras,Huracan Las Heras
Jocoro,Jocoro
KFC Komarno,Komarno
KZ AZS Wroclaw (W),AZS Wroclaw W
Kakamega Homeboyz,Kakamega Homeboyz
MSV Duisburg (W),Duisburg W
Maccabi Haifa,Maccabi Haifa
Macva Sabac,Macva
Martos CD,Martos
Mumbai City,Mumbai City
Muscat Club (N),Muscat
Newport County,Newport
Nizhny Novgorod FC,Nizhny Novgorod
Nottingham Forest,Nottingham
Omonia Aradippou,Omonia Aradippou
Pakhtakor Tashkent,Pakhtakor
Palanga,Palanga
Persib Bandung,Persib Bandung
Real Madriz Fc,Real Madriz
Real Sociedad B,R. Sociedad B
Real Sociedad C,Real Sociedad C
Royal Pari FC (N),Royal Pari
Rudar Velenje,Rudar
SCR Pena Deportiva,Pena Deportina
SV Werder Bremen (W),Werder Bremen W
San Jorge de Tucuman,San Jorge
Sonsonate,Sonsonate
Sport Rosario,Sport Rosario
Stranraer,Stranraer
UDG Tenerife Sur (W),Tenerife W
UTC Cajamarca (N),Cajamarca
VMFD Zalgiris Vilnius,Zalgiris
Wurzburger Kickers,Wurzburger Kickers
Zulia FC,Zulia
APOEL Nicosia,APOEL
ASD Aquila 1902 Montevarchi,Montevarchi Calcio
Al Jazeera Amman,Al Jazeera Amman
Amarante,Amarante
Beroe Stara Zagora,Beroe
Blackpool,Blackpool
Borneo FC,Pusamania Borneo
CD El Cotillo,El Cotillo
CD La Cuadra,La Cuadra
CD San Fernando Henares,San Fernando
CF Talavera De La Reina,CF Talavera
CF Union Viera,Union Viera
Club Deportivo Guabira,Guabira
Club Destroyers (N),Destroyers
Crawley Town,Crawley Town
Diagoras Rhodes,Diagoras
FFC Turbine Potsdam (W),Potsdam W
FK Teplice,Teplice
JK Nomme Kalju U21,Nomme Kalju U21
Jamshedpur,Jamshedpur
Leixoes SC,Leixoes
Lindome GIF,Lindome
Mordovia Saransk,M. Saransk
Niki Tragano,Niki Tragano
Oleksandria,Oleksandriya
Pueblonuevo,Pueblonuevo
RSC Anderlecht  (W),RSC Anderlecht W
SC Weiz,SC Weiz
Sydney FC (W),Sydney W
Tallinna Kalev U21,Tallinna Kalev U21
That Ras,That Ras
Trestina,Trestina
Urozhay Krasnodar,Urozhay
Western Sydney Wanderers FC (W),WS Wanderers W
Wycombe Wanderers,Wycombe
Annecy,Annecy
CA San Lorenzo Almagro,San Lorenzo
CD Petapa,Petapa
CD Santa Clara,Santa Clara
CDB Atletico Tomelloso,Tomelloso CF
Campobasso,Campobasso
Coruxo FC,Coruxo FC
FC Chambly,Chambly
FC Munsingen,Munsingen
FK Partizan Belgrade,Partizan
FK Ventspils,Ventspils
Fotbal Trinec,Trinec
